Mun;Mas;Fem;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Médico Cirurgião Geral;Médico Clínico;Médico Ginecologista Obstetra;Médico de família e comunidade;Médico Pediatra;Médico geriatra;Médico urologista;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO
310280 Andrelândia;6090;6099;641;650;624;690;1685;1691;1838;1811;1381;782;396;0.0;10.0;0.0;0.0;0.0;0.0;0.0;3.0;9.0;7.0;1.0;6.0;7.0;10.0;1.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0
310285 Angelândia;4211;4383;766;715;585;652;1584;1351;1002;832;550;363;194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
310290 Antônio Carlos;5696;5775;614;620;609;705;1748;1711;1710;1624;1136;678;316;0.0;19.0;1.0;0.0;3.0;0.0;0.0;2.0;10.0;4.0;1.0;2.0;2.0;7.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0
310300 Antônio Dias;4635;4598;657;651;593;588;1441;1348;1306;1224;808;401;216;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;10.0;3.0;0.0;1.0;2.0;3.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0
310310 Antônio Prado de Minas;825;752;57;59;61;81;197;194;212;256;209;149;102;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;5.0;1.0;1.0;3.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
310320 Araçaí;1115;1245;135;138;134;145;337;323;315;343;229;170;91;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
310330 Aracitaba;1046;1010;84;91;86;100;275;292;271;319;288;159;91;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
310340 Araçuaí;18227;18488;2650;2654;2482;2425;5754;5938;4870;4080;2827;1806;1229;0.0;47.0;2.0;0.0;4.0;0.0;0.0;6.0;34.0;22.0;4.0;2.0;13.0;8.0;3.0;7.0;13.0;1.0;1.0;0.0;0.0;0.0
310350 Araguari;58227;60134;6652;6770;6967;7643;17169;18194;17209;15992;11706;6657;3402;2.0;121.0;20.0;0.0;29.0;1.0;4.0;28.0;116.0;56.0;14.0;27.0;77.0;74.0;6.0;3.0;23.0;6.0;4.0;0.0;0.0;0.0
310360 Arantina;1398;1381;139;150;146;152;385;342;403;436;342;178;106;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;1.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
310370 Araponga;4379;4088;597;558;509;587;1390;1420;1292;939;628;350;197;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;0.0;2.0;1.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
310375 Araporã;3517;3475;527;533;548;531;1263;1126;896;686;455;293;134;3.0;11.0;1.0;0.0;3.0;0.0;1.0;1.0;4.0;3.0;0.0;2.0;1.0;5.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0
310380 Arapuá;1428;1408;135;148;140;129;372;353;418;425;334;240;142;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
310390 Araújos;4804;4719;687;675;692;731;1546;1563;1267;1053;705;385;219;0.0;4.0;0.0;0.0;1.0;0.0;0.0;1.0;7.0;3.0;1.0;1.0;1.0;3.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0
310400 Araxá;54202;54201;6214;6316;6579;7214;17110;18597;15424;13022;10266;5139;2522;6.0;111.0;14.0;0.0;22.0;1.0;1.0;18.0;156.0;88.0;19.0;29.0;59.0;80.0;9.0;1.0;19.0;6.0;4.0;0.0;0.0;0.0
310410 Arceburgo;5744;5246;709;747;801;782;1724;1841;1424;1243;934;504;281;0.0;9.0;1.0;0.0;1.0;0.0;0.0;0.0;9.0;4.0;2.0;2.0;2.0;4.0;1.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0
310420 Arcos;20231;20427;2155;2263;2355;2485;5957;6690;6028;5496;4087;2162;980;0.0;26.0;5.0;0.0;4.0;0.0;0.0;3.0;39.0;23.0;7.0;7.0;17.0;29.0;1.0;1.0;14.0;10.0;2.0;0.0;0.0;0.0
310430 Areado;7665;7623;947;954;953;954;2239;2398;2119;1935;1462;849;478;0.0;8.0;0.0;0.0;2.0;0.0;0.0;2.0;8.0;6.0;1.0;3.0;3.0;4.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0
310440 Argirita;1365;1316;131;138;135;129;342;427;361;364;321;203;130;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
310445 Aricanduva;2675;2630;458;438;362;351;900;791;659;555;417;243;131;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0
310450 Arinos;9162;8688;1446;1381;1171;1168;2819;2673;2350;2007;1508;860;467;0.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;8.0;6.0;2.0;2.0;6.0;2.0;1.0;0.0;8.0;1.0;1.0;0.0;0.0;0.0
310460 Astolfo Dutra;7225;7133;792;833;882;894;2201;2248;1983;1878;1370;824;453;0.0;9.0;0.0;0.0;1.0;0.0;2.0;1.0;9.0;8.0;1.0;3.0;14.0;9.0;0.0;2.0;4.0;1.0;0.0;0.0;1.0;0.0
310470 Ataléia;6435;6061;796;807;685;692;1790;1778;1711;1618;1304;828;487;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;1.0;2.0;2.0;1.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0
310480 Augusto de Lima;2428;2405;348;331;296;311;721;689;644;607;438;277;171;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
310490 Baependi;9693;9556;1052;1074;1073;1211;2787;2852;2658;2607;2082;1198;655;3.0;20.0;6.0;0.0;6.0;0.0;0.0;3.0;25.0;18.0;4.0;4.0;6.0;8.0;0.0;0.0;8.0;1.0;1.0;0.0;0.0;0.0
310500 Baldim;3858;3922;474;481;451;436;1076;1106;1017;1129;823;486;301;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0;2.0;1.0;1.0;1.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
310510 Bambuí;11984;11980;1108;1171;1217;1373;3540;3633;3320;3502;2673;1549;878;2.0;23.0;2.0;0.0;4.0;0.0;0.0;5.0;26.0;19.0;5.0;3.0;16.0;19.0;0.0;0.0;7.0;6.0;2.0;0.0;0.0;0.0
310520 Bandeira;2391;2347;293;296;260;259;628;691;670;652;487;331;171;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
310530 Bandeira do Sul;2951;2857;338;346;344;372;996;898;787;731;543;311;142;0.0;10.0;1.0;0.0;1.0;0.0;0.0;1.0;7.0;3.0;1.0;2.0;3.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0
310540 Barão de Cocais;16610;16622;2206;2187;2165;2304;5582;5605;4625;3796;2859;1253;650;0.0;29.0;6.0;0.0;7.0;0.0;0.0;5.0;33.0;22.0;5.0;6.0;43.0;31.0;1.0;0.0;10.0;2.0;1.0;0.0;0.0;0.0
310550 Barão de Monte Alto;2605;2706;289;297;275;283;716;726;688;747;635;397;258;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;3.0;0.0;1.0;1.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
310560 Barbacena;66156;72905;7561;7806;8087;8822;21383;21755;19877;18458;14279;7389;3644;13.0;223.0;29.0;2.0;47.0;0.0;2.0;37.0;282.0;149.0;50.0;38.0;98.0;131.0;22.0;4.0;22.0;1.0;6.0;4.0;0.0;0.0
310570 Barra Longa;2380;2525;238;253;228;207;543;612;676;732;690;424;302;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
310590 Barroso;10132;10849;1278;1289;1307;1461;3123;3168;2977;2831;1970;1068;509;0.0;20.0;0.0;0.0;3.0;0.0;0.0;1.0;19.0;12.0;3.0;4.0;16.0;10.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0
310600 Bela Vista de Minas;4949;5320;699;698;691;722;1497;1474;1393;1323;935;530;307;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;5.0;0.0;2.0;5.0;4.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
310610 Belmiro Braga;1752;1670;213;212;199;202;503;441;473;502;315;230;132;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;0.0;2.0;3.0;1.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0
310620 Belo Horizonte;1182944;1347757;130323;131712;143060;169260;376127;411541;381835;313025;252485;145185;76148;463.0;4159.0;965.0;58.0;1581.0;47.0;65.0;598.0;6955.0;2226.0;727.0;681.0;1854.0;1630.0;421.0;1.0;165.0;10.0;36.0;25.0;1.0;0.0
310630 Belo Oriente;13514;13763;2028;2001;1906;1942;4578;4245;3830;2981;2041;1127;598;1.0;12.0;1.0;0.0;4.0;0.0;0.0;3.0;14.0;10.0;5.0;5.0;10.0;8.0;2.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0
310640 Belo Vale;3848;3875;403;419;414;425;1053;1133;1103;1181;839;493;260;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;4.0;1.0;1.0;6.0;2.0;0.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0
310650 Berilo;6104;5709;769;806;737;757;1926;2029;1670;1381;922;522;294;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;3.0;2.0;1.0;3.0;3.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0
310665 Berizal;2391;2401;363;346;318;318;720;811;627;525;407;233;124;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
310660 Bertópolis;2461;2148;426;391;330;290;689;647;598;485;359;246;148;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0
310670 Betim;220567;229457;32031;31037;30533;33957;79749;75108;64138;49229;33884;14349;6009;54.0;479.0;87.0;4.0;186.0;5.0;4.0;84.0;647.0;326.0;82.0;59.0;114.0;187.0;19.0;0.0;38.0;7.0;4.0;1.0;0.0;0.0
310680 Bias Fortes;1689;1593;166;169;156;176;418;437;493;496;403;243;125;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
310690 Bicas;6979;7633;784;806;824;882;2096;2097;1894;1934;1653;1030;612;1.0;9.0;2.0;0.0;6.0;0.0;0.0;1.0;13.0;17.0;4.0;3.0;6.0;8.0;1.0;6.0;0.0;1.0;1.0;0.0;0.0;0.0
310700 Biquinhas;1242;1240;94;101;102;115;315;329;341;429;328;218;110;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
310710 Boa Esperança;20169;20139;2457;2473;2384;2584;6202;6110;5340;5063;4214;2247;1234;1.0;28.0;6.0;0.0;7.0;0.0;0.0;5.0;26.0;26.0;6.0;10.0;44.0;17.0;1.0;0.0;13.0;0.0;1.0;0.0;0.0;0.0
310720 Bocaina de Minas;2699;2389;245;245;227;280;767;719;788;777;562;305;173;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;3.0;2.0;1.0;3.0;4.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0
310730 Bocaiúva;25239;25282;3645;3580;3396;3679;8292;8366;6823;5780;3894;2040;1026;0.0;30.0;0.0;0.0;4.0;0.0;0.0;6.0;34.0;15.0;3.0;5.0;16.0;11.0;1.0;4.0;11.0;0.0;1.0;0.0;0.0;0.0
310740 Bom Despacho;25585;25851;2925;2973;2969;3383;8149;8189;7218;6821;4918;2579;1312;1.0;54.0;8.0;0.0;8.0;0.0;2.0;10.0;51.0;39.0;4.0;11.0;23.0;37.0;4.0;0.0;15.0;3.0;1.0;0.0;0.0;0.0
310750 Bom Jardim de Minas;3205;3239;334;357;345;339;897;840;915;966;774;429;248;0.0;6.0;0.0;0.0;2.0;0.0;1.0;1.0;8.0;8.0;0.0;4.0;8.0;4.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0
310760 Bom Jesus da Penha;2205;2065;217;217;204;276;697;621;596;621;455;249;117;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;3.0;0.0;1.0;1.0;2.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0
310770 Bom Jesus do Amparo;3054;3128;388;392;375;408;998;1018;788;741;559;332;183;0.0;4.0;1.0;0.0;1.0;0.0;0.0;0.0;7.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
310780 Bom Jesus do Galho;7548;7244;898;915;844;806;1983;2142;2128;2058;1525;938;555;0.0;9.0;0.0;0.0;1.0;0.0;0.0;1.0;5.0;8.0;1.0;2.0;2.0;3.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0
310790 Bom Repouso;5481;5046;639;642;631;699;1664;1590;1565;1413;980;498;206;0.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;5.0;2.0;2.0;1.0;0.0;2.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0
310800 Bom Sucesso;8716;8896;950;938;873;987;2494;2568;2626;2411;2018;1111;636;1.0;8.0;0.0;0.0;2.0;0.0;0.0;2.0;12.0;7.0;1.0;2.0;5.0;8.0;1.0;1.0;7.0;0.0;1.0;0.0;0.0;0.0
310810 Bonfim;3393;3459;283;310;296;326;859;846;1063;1115;864;570;320;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;2.0;1.0;1.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
310820 Bonfinópolis de Minas;2714;2683;337;338;303;283;731;756;766;739;560;383;201;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;1.0;1.0;0.0;2.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
310825 Bonito de Minas;6008;5494;1089;1028;908;906;2004;1811;1246;1012;757;459;282;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;7.0;1.0;1.0;1.0;1.0;4.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0
310830 Borda da Mata;10065;9744;1050;1067;1121;1249;2860;3047;2626;2622;2184;1244;739;1.0;2.0;1.0;0.0;3.0;0.0;0.0;2.0;10.0;8.0;3.0;1.0;10.0;2.0;1.0;5.0;2.0;0.0;0.0;0.0;1.0;0.0
310840 Botelhos;7447;7480;868;869;831;860;2174;2116;2094;1984;1665;941;525;0.0;11.0;0.0;0.0;2.0;0.0;0.0;1.0;6.0;7.0;3.0;2.0;3.0;7.0;0.0;0.0;5.0;1.0;1.0;0.0;0.0;0.0
310850 Botumirim;3267;2992;502;495;432;435;1057;1027;758;658;496;266;133;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;1.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
310870 Brás Pires;2127;2128;233;239;204;199;581;563;615;664;467;306;184;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;1.0;0.0;2.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
310855 Brasilândia de Minas;8876;8074;1478;1395;1283;1385;3159;2771;2141;1566;1047;497;228;0.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0;4.0;0.0;0.0;2.0;3.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0
310860 Brasília de Minas;16161;16299;2291;2283;2061;2052;5131;5302;4404;3670;2569;1714;983;3.0;24.0;6.0;0.0;6.0;0.0;0.0;9.0;48.0;18.0;3.0;8.0;9.0;12.0;1.0;5.0;11.0;1.0;2.0;0.0;0.0;0.0
310880 Braúnas;2310;2427;267;267;234;268;728;665;665;624;453;313;253;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;4.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
310890 Brazópolis;7294;7070;802;820;769;782;2045;1939;2175;1894;1571;994;573;0.0;5.0;0.0;0.0;3.0;0.0;0.0;1.0;9.0;11.0;2.0;2.0;6.0;4.0;1.0;1.0;7.0;0.0;1.0;0.0;0.0;0.0
310900 Brumadinho;20721;20487;2448;2449;2441;2758;6604;6294;6054;5608;3686;1933;933;0.0;24.0;1.0;0.0;10.0;0.0;0.0;16.0;64.0;34.0;9.0;10.0;22.0;50.0;3.0;0.0;15.0;1.0;2.0;0.0;0.0;0.0
310910 Bueno Brandão;5776;5206;578;600;602;598;1479;1511;1628;1585;1264;755;382;0.0;9.0;1.0;0.0;0.0;0.0;0.0;1.0;10.0;6.0;2.0;1.0;11.0;4.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0
310920 Buenópolis;5202;5140;653;645;602;623;1645;1700;1478;1229;888;566;313;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0;3.0;1.0;0.0;0.0;2.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
310925 Bugre;2069;1915;267;270;251;238;570;554;541;525;378;229;161;0.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;3.0;1.0;1.0;1.0;2.0;1.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0
310930 Buritis;12723;12456;2102;2039;1795;1880;4306;3795;3325;2635;1813;1013;476;0.0;13.0;1.0;0.0;2.0;0.0;0.0;5.0;23.0;9.0;1.0;1.0;10.0;7.0;0.0;3.0;10.0;1.0;1.0;0.0;0.0;0.0
310940 Buritizeiro;14178;14006;2406;2269;2052;2141;4727;4607;3828;2742;1983;982;447;2.0;14.0;0.0;0.0;1.0;0.0;1.0;5.0;16.0;7.0;1.0;4.0;4.0;9.0;1.0;7.0;7.0;0.0;1.0;0.0;0.0;0.0
310945 Cabeceira Grande;3680;3345;536;521;445;476;1188;964;979;908;571;297;140;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
310950 Cabo Verde;7788;6286;819;821;869;947;2134;2314;2079;1722;1303;690;376;0.0;13.0;0.0;0.0;0.0;0.0;0.0;1.0;11.0;6.0;2.0;1.0;5.0;2.0;0.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0
310960 Cachoeira da Prata;1661;1919;175;178;179;194;498;515;536;513;404;251;137;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;2.0;1.0;2.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
310970 Cachoeira de Minas;6147;5462;687;708;691;694;1629;1608;1603;1603;1254;751;381;0.0;3.0;0.0;0.0;2.0;0.0;0.0;3.0;3.0;4.0;1.0;1.0;5.0;6.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0
310270 Cachoeira de Pajeú;4816;4654;721;693;589;603;1437;1373;1263;1141;845;516;289;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;4.0;1.0;1.0;0.0;2.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0
310980 Cachoeira Dourada;1279;1441;193;200;185;174;399;406;375;358;216;126;88;0.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;3.0;0.0;1.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
310990 Caetanópolis;6027;5842;637;654;646;657;1845;1839;1565;1782;1287;626;331;0.0;12.0;0.0;0.0;2.0;0.0;0.0;2.0;11.0;2.0;1.0;2.0;1.0;4.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0
311000 Caeté;22116;23248;2770;2812;2833;3013;6720;6975;6490;5792;4348;2368;1243;1.0;73.0;1.0;0.0;6.0;0.0;0.0;3.0;16.0;7.0;2.0;4.0;23.0;14.0;2.0;0.0;11.0;1.0;1.0;0.0;0.0;0.0
311010 Caiana;2888;2696;400;403;396;409;931;898;763;610;430;212;132;0.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;3.0;1.0;1.0;3.0;1.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0
311020 Cajuri;2103;1858;217;226;230;230;555;564;564;495;468;255;157;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
311030 Caldas;7439;7161;772;795;793;817;1977;1939;2028;2206;1724;1023;526;1.0;3.0;1.0;0.0;2.0;1.0;0.0;3.0;9.0;8.0;0.0;3.0;3.0;4.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0
311040 Camacho;1503;1336;143;148;141;163;397;443;450;383;304;181;86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0
311050 Camanducaia;11187;10644;1337;1339;1320;1481;3488;3162;3081;2758;2088;1220;557;0.0;22.0;2.0;0.0;5.0;0.0;0.0;0.0;15.0;4.0;1.0;2.0;25.0;6.0;1.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0
311060 Cambuí;14888;15180;1596;1616;1630;1825;4423;4603;4344;3993;3170;1872;996;1.0;26.0;7.0;0.0;15.0;0.0;2.0;2.0;4.0;9.0;3.0;5.0;31.0;11.0;1.0;1.0;11.0;1.0;1.0;0.0;0.0;0.0
311070 Cambuquira;6307;6503;729;728;711;813;1986;1837;1652;1639;1401;822;492;0.0;7.0;0.0;0.0;4.0;0.0;0.0;4.0;9.0;10.0;2.0;1.0;4.0;5.0;1.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0
311080 Campanário;1792;1947;240;246;218;251;618;531;510;485;351;184;105;0.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;3.0;0.0;1.0;2.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
311090 Campanha;8631;8224;1020;1026;1009;1146;2715;2578;2191;2149;1686;855;480;0.0;18.0;0.0;0.0;2.0;0.0;0.0;5.0;15.0;10.0;4.0;4.0;9.0;9.0;1.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0
311100 Campestre;10984;10068;1178;1191;1180;1326;3211;2955;2951;2826;2264;1316;654;1.0;10.0;1.0;0.0;1.0;0.0;0.0;2.0;21.0;10.0;2.0;4.0;15.0;6.0;1.0;0.0;7.0;1.0;1.0;0.0;1.0;0.0
311110 Campina Verde;10116;9643;1007;1028;1006;1040;2674;2927;2965;2994;2191;1248;679;0.0;16.0;1.0;0.0;3.0;0.0;0.0;1.0;12.0;7.0;2.0;4.0;20.0;3.0;1.0;0.0;6.0;1.0;1.0;0.0;1.0;0.0
311115 Campo Azul;2062;1768;281;278;226;217;592;569;505;426;365;230;141;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0
311120 Campo Belo;26476;27862;2981;3027;3038;3298;7569;8155;7863;6945;6133;3419;1910;3.0;89.0;0.0;0.0;10.0;0.0;0.0;14.0;80.0;31.0;4.0;12.0;28.0;27.0;2.0;0.0;17.0;1.0;2.0;0.0;0.0;0.0
311130 Campo do Meio;5840;5808;696;694;642;713;1662;1626;1627;1621;1370;657;340;0.0;5.0;0.0;0.0;1.0;0.0;0.0;1.0;10.0;3.0;1.0;1.0;2.0;1.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0
311140 Campo Florido;4515;3868;655;615;625;726;1560;1337;1118;795;505;294;153;0.0;8.0;1.0;0.0;1.0;0.0;0.0;1.0;9.0;8.0;2.0;1.0;3.0;6.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
311150 Campos Altos;8270;7391;1100;1067;1030;1176;2571;2559;2211;1728;1277;626;316;0.0;7.0;1.0;0.0;2.0;0.0;0.0;0.0;14.0;5.0;0.0;1.0;7.0;2.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0
311160 Campos Gerais;14668;14240;1853;1821;1671;1870;4424;4065;4269;3822;2820;1550;743;0.0;16.0;4.0;0.0;3.0;0.0;0.0;4.0;24.0;8.0;2.0;5.0;4.0;4.0;0.0;1.0;9.0;2.0;1.0;0.0;1.0;0.0
311190 Cana Verde;2872;2713;299;294;291;356;738;832;797;725;674;377;202;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0
311170 Canaã;2332;2201;244;245;222;223;639;741;663;597;478;295;186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;5.0;0.0;3.0;2.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
311180 Canápolis;6552;5699;725;741;775;829;2028;2019;1765;1505;1013;566;285;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;7.0;9.0;0.0;4.0;4.0;9.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0
311200 Candeias;7642;7248;699;709;701;843;2091;2234;2181;2123;1758;988;563;0.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;11.0;9.0;2.0;1.0;6.0;6.0;0.0;0.0;6.0;3.0;1.0;0.0;0.0;0.0
311205 Cantagalo;2187;2388;394;370;331;288;711;756;564;431;358;227;145;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;2.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
311210 Caparaó;2948;2516;396;383;362;455;976;862;768;584;399;190;89;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;1.0;4.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
